"Label (Grouping)","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!Percent!!Estimate","Florida!!Percent!!Margin of Error","Florida!!Male!!Estimate","Florida!!Male!!Margin of Error","Florida!!Percent Male!!Estimate","Florida!!Percent Male!!Margin of Error","Florida!!Female!!Estimate","Florida!!Female!!Margin of Error","Florida!!Percent Female!!Estimate","Florida!!Percent Female!!Margin of Error","Clay County, Florida!!Total!!Estimate","Clay County, Florida!!Total!!Margin of Error","Clay County, Florida!!Percent!!Estimate","Clay County, Florida!!Percent!!Margin of Error","Clay County, Florida!!Male!!Estimate","Clay County, Florida!!Male!!Margin of Error","Clay County, Florida!!Percent Male!!Estimate","Clay County, Florida!!Percent Male!!Margin of Error","Clay County, Florida!!Female!!Estimate","Clay County, Florida!!Female!!Margin of Error","Clay County, Florida!!Percent Female!!Estimate","Clay County, Florida!!Percent Female!!Margin of Error","Duval County, Florida!!Total!!Estimate","Duval County, Florida!!Total!!Margin of Error","Duval County, Florida!!Percent!!Estimate","Duval County, Florida!!Percent!!Margin of Error","Duval County, Florida!!Male!!Estimate","Duval County, Florida!!Male!!Margin of Error","Duval County, Florida!!Percent Male!!Estimate","Duval County, Florida!!Percent Male!!Margin of Error","Duval County, Florida!!Female!!Estimate","Duval County, Florida!!Female!!Margin of Error","Duval County, Florida!!Percent Female!!Estimate","Duval County, Florida!!Percent Female!!Margin of Error","Nassau County, Florida!!Total!!Estimate","Nassau County, Florida!!Total!!Margin of Error","Nassau County, Florida!!Percent!!Estimate","Nassau County, Florida!!Percent!!Margin of Error","Nassau County, Florida!!Male!!Estimate","Nassau County, Florida!!Male!!Margin of Error","Nassau County, Florida!!Percent Male!!Estimate","Nassau County, Florida!!Percent Male!!Margin of Error","Nassau County, Florida!!Female!!Estimate","Nassau County, Florida!!Female!!Margin of Error","Nassau County, Florida!!Percent Female!!Estimate","Nassau County, Florida!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","1,906,324","±8,750","(X)","(X)","973,133","±5,506","(X)","(X)","933,191","±6,295","(X)","(X)","18,389","±1,387","(X)","(X)","9,936","±980","(X)","(X)","8,453","±876","(X)","(X)","91,872","±404","(X)","(X)","46,480","±211","(X)","(X)","45,392","±355","(X)","(X)","5,890","±752","(X)","(X)","2,773","±130","(X)","(X)","3,117","±710","(X)","(X)"
"        Less than high school graduate","253,196","±10,697","13.3%","±0.6","148,353","±7,635","15.2%","±0.8","104,843","±6,443","11.2%","±0.7","2,228","±789","12.1%","±4.4","1,739","±748","17.5%","±7.7","489","±359","5.8%","±4.3","12,944","±2,402","14.1%","±2.6","6,980","±1,913","15.0%","±4.1","5,964","±1,475","13.1%","±3.2","725","±309","12.3%","±5.3","251","±201","9.1%","±7.2","474","±300","15.2%","±11.4"
"        High school graduate (includes equivalency)","692,535","±14,530","36.3%","±0.7","386,373","±10,722","39.7%","±1.1","306,162","±10,390","32.8%","±1.0","5,984","±1,495","32.5%","±7.5","4,079","±1,423","41.1%","±12.9","1,905","±706","22.5%","±7.8","38,236","±3,647","41.6%","±4.0","22,225","±2,699","47.8%","±5.8","16,011","±2,562","35.3%","±5.6","1,883","±712","32.0%","±13.3","1,013","±521","36.5%","±18.7","870","±481","27.9%","±17.5"
"        Some college or associate's degree","711,471","±14,274","37.3%","±0.7","334,343","±9,949","34.4%","±1.0","377,128","±9,621","40.4%","±1.0","7,914","±1,829","43.0%","±9.1","3,766","±1,312","37.9%","±13.0","4,148","±1,337","49.1%","±14.6","27,859","±3,557","30.3%","±3.9","12,721","±2,110","27.4%","±4.5","15,138","±2,593","33.3%","±5.8","2,743","±1,105","46.6%","±14.6","970","±553","35.0%","±19.8","1,773","±972","56.9%","±21.0"
"        Bachelor's degree or higher","249,122","±11,205","13.1%","±0.6","104,064","±7,863","10.7%","±0.8","145,058","±7,250","15.5%","±0.8","2,263","±953","12.3%","±5.2","352","±227","3.5%","±2.3","1,911","±927","22.6%","±11.0","12,833","±2,213","14.0%","±2.4","4,554","±1,422","9.8%","±3.1","8,279","±1,752","18.2%","±3.8","539","±458","9.2%","±8.0","539","±458","19.4%","±16.6","0","±247","0.0%","±7.8"
"    Population 25 years and over","16,973,955","±8,398","(X)","(X)","8,218,211","±6,824","(X)","(X)","8,755,744","±6,663","(X)","(X)","165,291","±1,386","(X)","(X)","79,403","±943","(X)","(X)","85,888","±890","(X)","(X)","730,444","±413","(X)","(X)","346,005","±388","(X)","(X)","384,439","±258","(X)","(X)","78,614","±888","(X)","(X)","38,949","±1,146","(X)","(X)","39,665","±1,028","(X)","(X)"
"        Less than 9th grade","702,628","±20,583","4.1%","±0.1","364,182","±14,174","4.4%","±0.2","338,446","±12,313","3.9%","±0.1","5,430","±1,740","3.3%","±1.0","2,801","±1,274","3.5%","±1.6","2,629","±994","3.1%","±1.2","23,833","±3,834","3.3%","±0.5","11,163","±2,779","3.2%","±0.8","12,670","±2,121","3.3%","±0.6","1,725","±758","2.2%","±1.0","1,142","±713","2.9%","±1.8","583","±317","1.5%","±0.8"
"        9th to 12th grade, no diploma","933,850","±20,163","5.5%","±0.1","509,672","±14,334","6.2%","±0.2","424,178","±13,350","4.8%","±0.2","7,464","±1,381","4.5%","±0.8","4,348","±1,311","5.5%","±1.7","3,116","±881","3.6%","±1.0","44,141","±4,599","6.0%","±0.6","22,230","±3,134","6.4%","±0.9","21,911","±3,124","5.7%","±0.8","3,543","±1,297","4.5%","±1.7","2,329","±1,114","6.0%","±2.8","1,214","±697","3.1%","±1.7"
"        High school graduate (includes equivalency)","4,489,041","±38,891","26.4%","±0.2","2,274,100","±26,004","27.7%","±0.3","2,214,941","±24,142","25.3%","±0.3","50,247","±4,400","30.4%","±2.7","25,950","±2,750","32.7%","±3.5","24,297","±2,730","28.3%","±3.1","201,554","±9,008","27.6%","±1.2","104,671","±6,023","30.3%","±1.7","96,883","±6,225","25.2%","±1.6","23,463","±2,012","29.8%","±2.5","10,950","±1,315","28.1%","±3.4","12,513","±1,648","31.5%","±4.0"
"        Some college, no degree","3,042,401","±31,703","17.9%","±0.2","1,457,774","±22,344","17.7%","±0.3","1,584,627","±20,448","18.1%","±0.2","37,404","±3,522","22.6%","±2.1","16,781","±2,441","21.1%","±3.1","20,623","±2,772","24.0%","±3.2","140,399","±8,502","19.2%","±1.2","64,180","±5,108","18.5%","±1.5","76,219","±6,360","19.8%","±1.7","14,644","±2,165","18.6%","±2.7","7,456","±1,382","19.1%","±3.5","7,188","±1,349","18.1%","±3.4"
"        Associate's degree","1,723,184","±24,271","10.2%","±0.1","733,285","±17,630","8.9%","±0.2","989,899","±17,157","11.3%","±0.2","19,840","±2,611","12.0%","±1.6","8,287","±1,828","10.4%","±2.3","11,553","±2,074","13.5%","±2.4","60,515","±4,556","8.3%","±0.6","23,052","±2,772","6.7%","±0.8","37,463","±3,336","9.7%","±0.9","5,816","±1,341","7.4%","±1.7","2,776","±868","7.1%","±2.2","3,040","±916","7.7%","±2.3"
"        Bachelor's degree","3,758,332","±33,166","22.1%","±0.2","1,768,988","±23,852","21.5%","±0.3","1,989,344","±23,032","22.7%","±0.3","30,038","±3,561","18.2%","±2.1","14,346","±1,986","18.1%","±2.4","15,692","±2,741","18.3%","±3.2","171,802","±7,004","23.5%","±1.0","80,454","±4,624","23.3%","±1.3","91,348","±5,123","23.8%","±1.3","18,369","±2,323","23.4%","±3.0","9,231","±1,582","23.7%","±4.0","9,138","±1,343","23.0%","±3.6"
"        Graduate or professional degree","2,324,519","±26,838","13.7%","±0.2","1,110,210","±19,904","13.5%","±0.2","1,214,309","±18,571","13.9%","±0.2","14,868","±2,695","9.0%","±1.6","6,890","±1,690","8.7%","±2.1","7,978","±1,808","9.3%","±2.1","88,200","±5,585","12.1%","±0.8","40,255","±3,490","11.6%","±1.0","47,945","±4,359","12.5%","±1.1","11,054","±1,818","14.1%","±2.3","5,065","±1,203","13.0%","±3.0","5,989","±1,391","15.1%","±3.3"
"        High school graduate or higher","15,337,477","±28,574","90.4%","±0.2","7,344,357","±21,530","89.4%","±0.3","7,993,120","±17,886","91.3%","±0.2","152,397","±2,518","92.2%","±1.4","72,254","±2,191","91.0%","±2.4","80,143","±1,508","93.3%","±1.5","662,470","±5,524","90.7%","±0.8","312,612","±3,454","90.3%","±1.0","349,858","±3,630","91.0%","±1.0","73,346","±1,572","93.3%","±1.7","35,478","±1,461","91.1%","±2.9","37,868","±1,153","95.5%","±1.9"
"        Bachelor's degree or higher","6,082,851","±36,562","35.8%","±0.2","2,879,198","±28,428","35.0%","±0.4","3,203,653","±24,414","36.6%","±0.3","44,906","±3,891","27.2%","±2.3","21,236","±2,416","26.7%","±2.9","23,670","±2,974","27.6%","±3.5","260,002","±8,199","35.6%","±1.1","120,709","±5,581","34.9%","±1.6","139,293","±5,890","36.2%","±1.5","29,423","±2,531","37.4%","±3.3","14,296","±1,821","36.7%","±4.5","15,127","±1,589","38.1%","±4.0"
"    Population 25 to 34 years","2,925,033","±10,723","(X)","(X)","1,478,029","±6,303","(X)","(X)","1,447,004","±7,144","(X)","(X)","29,879","±2,233","(X)","(X)","14,463","±1,324","(X)","(X)","15,416","±1,572","(X)","(X)","165,648","±318","(X)","(X)","81,269","±237","(X)","(X)","84,379","±213","(X)","(X)","10,703","±1,097","(X)","(X)","5,442","±872","(X)","(X)","5,261","±494","(X)","(X)"
"        High school graduate or higher","2,692,163","±13,174","92.0%","±0.4","1,337,494","±9,234","90.5%","±0.5","1,354,669","±9,165","93.6%","±0.5","26,988","±2,094","90.3%","±4.7","12,697","±1,615","87.8%","±8.6","14,291","±1,574","92.7%","±3.9","153,164","±2,578","92.5%","±1.5","73,981","±2,040","91.0%","±2.5","79,183","±1,798","93.8%","±2.1","10,243","±1,067","95.7%","±4.0","5,255","±884","96.6%","±4.6","4,988","±587","94.8%","±6.5"
"        Bachelor's degree or higher","1,089,100","±18,749","37.2%","±0.6","490,651","±13,516","33.2%","±0.9","598,449","±12,750","41.4%","±0.9","8,097","±2,271","27.1%","±7.5","3,505","±1,246","24.2%","±8.3","4,592","±1,366","29.8%","±9.4","63,342","±4,536","38.2%","±2.7","25,909","±2,923","31.9%","±3.6","37,433","±3,243","44.4%","±3.8","4,235","±1,136","39.6%","±9.5","2,204","±905","40.5%","±13.0","2,031","±656","38.6%","±12.3"
"    Population 35 to 44 years","3,064,472","±9,110","(X)","(X)","1,545,051","±5,746","(X)","(X)","1,519,421","±6,774","(X)","(X)","30,872","±2,192","(X)","(X)","15,091","±1,390","(X)","(X)","15,781","±1,586","(X)","(X)","149,765","±279","(X)","(X)","73,911","±205","(X)","(X)","75,854","±148","(X)","(X)","12,605","±1,173","(X)","(X)","6,347","±638","(X)","(X)","6,258","±736","(X)","(X)"
"        High school graduate or higher","2,783,751","±15,327","90.8%","±0.4","1,376,671","±10,949","89.1%","±0.6","1,407,080","±8,565","92.6%","±0.5","28,863","±2,011","93.5%","±2.7","13,901","±1,309","92.1%","±4.7","14,962","±1,579","94.8%","±4.0","133,282","±2,960","89.0%","±2.0","64,704","±2,066","87.5%","±2.8","68,578","±1,826","90.4%","±2.4","11,900","±1,127","94.4%","±4.4","5,692","±655","89.7%","±8.5","6,208","±729","99.2%","±1.3"
"        Bachelor's degree or higher","1,201,644","±18,720","39.2%","±0.6","537,240","±13,392","34.8%","±0.8","664,404","±12,815","43.7%","±0.8","8,240","±1,767","26.7%","±6.0","3,331","±1,046","22.1%","±7.0","4,909","±1,480","31.1%","±9.1","60,082","±4,367","40.1%","±2.9","30,277","±3,167","41.0%","±4.3","29,805","±2,789","39.3%","±3.7","4,717","±1,254","37.4%","±9.6","1,946","±784","30.7%","±12.0","2,771","±792","44.3%","±12.1"
"    Population 45 to 64 years","5,890,097","±9,887","(X)","(X)","2,879,962","±6,750","(X)","(X)","3,010,135","±6,891","(X)","(X)","61,452","±2,498","(X)","(X)","30,479","±1,605","(X)","(X)","30,973","±1,629","(X)","(X)","245,827","±415","(X)","(X)","117,666","±387","(X)","(X)","128,161","±200","(X)","(X)","27,844","±1,534","(X)","(X)","14,085","±1,214","(X)","(X)","13,759","±738","(X)","(X)"
"        High school graduate or higher","5,311,367","±19,318","90.2%","±0.3","2,556,797","±13,261","88.8%","±0.4","2,754,570","±11,678","91.5%","±0.3","56,640","±2,802","92.2%","±2.1","27,511","±1,960","90.3%","±3.6","29,129","±1,857","94.0%","±2.4","222,564","±2,905","90.5%","±1.2","107,616","±1,725","91.5%","±1.5","114,948","±2,516","89.7%","±2.0","25,399","±1,612","91.2%","±3.6","12,425","±1,028","88.2%","±5.6","12,974","±929","94.3%","±3.4"
"        Bachelor's degree or higher","2,081,829","±25,173","35.3%","±0.4","968,699","±15,909","33.6%","±0.6","1,113,130","±16,552","37.0%","±0.5","17,184","±2,151","28.0%","±3.4","8,600","±1,524","28.2%","±4.9","8,584","±1,644","27.7%","±5.0","82,975","±5,015","33.8%","±2.0","39,115","±3,216","33.2%","±2.7","43,860","±3,659","34.2%","±2.9","8,708","±1,542","31.3%","±5.9","3,910","±934","27.8%","±7.2","4,798","±1,084","34.9%","±7.9"
"    Population 65 years and over","5,094,353","±4,646","(X)","(X)","2,315,169","±3,416","(X)","(X)","2,779,184","±3,087","(X)","(X)","43,088","±1,105","(X)","(X)","19,370","±924","(X)","(X)","23,718","±533","(X)","(X)","169,204","±329","(X)","(X)","73,159","±275","(X)","(X)","96,045","±164","(X)","(X)","27,462","±829","(X)","(X)","13,075","±705","(X)","(X)","14,387","±718","(X)","(X)"
"        High school graduate or higher","4,550,196","±13,829","89.3%","±0.3","2,073,395","±9,792","89.6%","±0.4","2,476,801","±9,587","89.1%","±0.3","39,906","±1,350","92.6%","±2.2","18,145","±1,068","93.7%","±2.9","21,761","±716","91.7%","±2.7","153,460","±2,340","90.7%","±1.4","66,311","±1,420","90.6%","±1.9","87,149","±1,561","90.7%","±1.6","25,804","±1,010","94.0%","±1.9","12,106","±798","92.6%","±3.1","13,698","±718","95.2%","±2.1"
"        Bachelor's degree or higher","1,710,278","±20,099","33.6%","±0.4","882,608","±13,231","38.1%","±0.6","827,670","±12,564","29.8%","±0.4","11,385","±1,563","26.4%","±3.7","5,800","±862","29.9%","±4.5","5,585","±1,294","23.5%","±5.4","53,603","±4,100","31.7%","±2.4","25,408","±2,000","34.7%","±2.7","28,195","±2,907","29.4%","±3.0","11,763","±1,271","42.8%","±4.5","6,236","±906","47.7%","±6.1","5,527","±899","38.4%","±6.2"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
